Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-9.00356053564123E-17,1.79838821175729,3.16587126579944E-07,0,0,0,3572.09724355866,5523.64508879556,-2.08395206732234E-13,-4.54747350886464E-13,2973.53008881627,-0.00202044353913153,5172.62916503173,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/base_link.STL,,救援卫星本体-1,frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link11,0.0139589988723161,0.288910720332332,1.17995692242023E-06,0,0,0,12.684803088495,0.349662863891678,-0.028524463849941,6.84881709678287E-09,0.0560321841890966,7.87872878483392E-09,0.364300355657848,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link11.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link11.STL,,机械臂1^救援卫星-1/关节1-1,frame11,1joint1,joint11,revolute,-0.5,3.6,0,3.14159265358979,0,3.14159265358979,base_link,0,-1,0,10000,10000,-6.29,6.29,,,,,,,,
link12,1.13077864405398E-07,-0.0146135010774783,0.128118042898427,0,0,0,6.05604337277493,0.0427082180928243,6.06936033985546E-10,-1.9157829127349E-09,0.0321841379686138,0.00260021650322435,0.0307252274019897,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link12.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link12.STL,,机械臂1^救援卫星-1/关节2-1,frame12,1joint2,joint12,revolute,0.1425,0.450000000000001,0,1.5707963267949,0,1.5707963267949,link11,0,0,-1,10000,10000,-6.29,6.29,,,,,,,,
link13,1.24999996696967,-6.39459052376168E-09,0.160000004264983,0,0,0,28.827223587067,0.116404404176382,-1.37447174862085E-08,-0.00224063018408454,8.14424388971692,-2.0777083609147E-08,8.10849534861087,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link13.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link13.STL,,机械臂1^救援卫星-1/关节3-1;机械臂1^救援卫星-1/连杆1-1;机械臂1^救援卫星-1/关节4-1,frame13,1joint3,joint13,revolute,0,-0.13,0.1575,1.5707963267949,0,0,link12,0,0,-1,10000,10000,-6.29,6.29,,,,,,,,
link14,1.24999999986854,-2.06468520058678E-09,0.159999999994664,0,0,0,28.8272244227313,0.116404414329493,-1.44868603753309E-09,-0.0022406311528142,8.14424388581765,-1.14351883517827E-09,8.10849536292046,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link14.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link14.STL,,机械臂1^救援卫星-1/关节5-1;机械臂1^救援卫星-1/连杆2-1;机械臂1^救援卫星-1/关节6-1,frame14,1joint4,joint14,revolute,2.5,0,0.320000000000001,0,0,0,link13,0,0,-1,10000,10000,-6.29,6.29,,,,,,,,
link15,-1.13077865293576E-07,-0.0293819571015737,0.115386498922522,0,0,0,6.05604337277495,0.0427082284539242,-9.17235432668821E-09,1.90554319098234E-08,0.0307252251714581,0.00260021667195721,0.0321841303669558,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link15.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link15.STL,,机械臂1^救援卫星-1/关节7-1,frame15,1joint5,joint15,revolute,2.5,0,0.319999999999999,0,0,3.14159265358979,link14,0,0,-1,10000,10000,-6.29,6.29,,,,,,,,
link16,-1.08613429361526E-09,-0.152146137684403,0.141504938606177,0,0,0,9.50180783986666,0.134537923751239,-2.31388708993025E-09,2.70478184641321E-09,0.0462078073016145,0.00112031558358884,0.116663662311257,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link16.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link16.STL,,机械臂1^救援卫星-1/关节8-1;机械臂1^救援卫星-1/连杆3-1,frame16,1joint6,joint16,revolute,0,-0.15,0.13,1.5707963267949,1.5707963267949,0,link15,0,0,-1,10000,10000,-6.29,6.29,,,,,,,,
link17,-2.22044604925031E-16,-8.88178419700125E-16,0.729509158225056,0,0,0,0.647217804415179,0.00367669165554127,1.70219741080224E-17,5.63047406605115E-19,0.00367669165554127,1.49214430095538E-18,0.00720862116414548,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link17.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link17.STL,,机械臂1^救援卫星-1/末端基座-1;机械臂1^救援卫星-1/摄像头-支架-1/摄像头支架-1,frame17,1joint17,joint17,revolute,0,0.109999999999999,0.159999999999985,-1.5707963267949,0,-3.14159265358979,link16,0,0,1,10000,10000,-6.29,6.29,,,,,,,,
link21,-1.17995692236472E-06,-0.0139589988723158,0.288910720332332,0,0,0,12.684803088495,0.364300355657849,6.84881712453844E-09,-7.8787288947773E-09,0.349662863891678,0.0285244638499411,0.0560321841890966,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link21.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link21.STL,,机械臂2^救援卫星-1/关节1-1,frame21,2joint1,joint21,revolute,0.5,3.6,0,1.5707963267949,1.5707963267949,0,base_link,0,0,-1,10000,10000,-6.29,6.29,,,,,,,,
link22,-3.63059735164484E-07,0.0146132845418808,0.133118142481952,0,0,0,6.05604801044192,0.0427083348601435,-4.00423332146873E-07,-2.51541833861621E-07,0.032183974264958,-0.00260020937854201,0.0307251610971737,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link22.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://space_robot_with_mass_6/meshes/link22.STL,,机械臂2^救援卫星-1/关节2-1,frame22,2joint2,joint22,revolute,0,-0.1375,0.450000000000001,1.5707963267949,-1.5707963267949,0,link21,0,0,-1,10000,10000,-6.29,6.29,,,,,,,,
