Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.63500956950103E-15,1.79842914118884,-4.39273821260757E-15,0,0,0,3572.17862833059,5523.90920491209,-1.87279787855437E-13,0,2973.55182691481,3.54233269817698E-12,5172.91209753096,0,0,0,0,0,0,package://xin_nuo_4/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xin_nuo_4/meshes/base_link.STL,,鑫诺二号本体-1,frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
tian_xian1,3.10862446895044E-15,1.32102955433489,-0.3,0,0,0,24.6143539276408,19.2982971395518,-2.47629989368925E-14,-1.77635683940025E-15,9.59788040316597,2.5000514929076E-17,9.7106748672165,0,0,0,0,0,0,package://xin_nuo_4/meshes/tian_xian1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xin_nuo_4/meshes/tian_xian1.STL,,天线-2,1joint_tian_xian,tian_xian1,joint_tian_xian1,revolute,-0.3,0.4,-1.24,3.1416,-1.5708,0,base_link,0,0,1,10000,10000,-6.29,6.29,,,,,,,,
tian_xian2,-8.88178419700125E-16,1.32102955433489,0.299999999999999,0,0,0,24.6143539276408,19.2982971395518,6.21241189425657E-15,-4.44089209850063E-15,9.59788040316597,2.20791999699846E-16,9.71067486721651,0,0,0,0,0,0,package://xin_nuo_4/meshes/tian_xian2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xin_nuo_4/meshes/tian_xian2.STL,,天线-1,2joint_tian_xian,tian_xian2,joint_tian_xian2,revolute,0.3,0.4,1.24,3.1416,-1.5708,0,base_link,0,0,1,10000,10000,-6.29,6.29,,,,,,,,
zhuan_zhou1,5.87733511858701E-09,1.5524088681218E-09,0.0541943118686843,0,0,0,0.0724314369507897,0.00024562467356761,-6.22295570861744E-11,3.62415583383523E-11,0.000241882448707953,-1.59294704277724E-11,0.000177147693159084,0,0,0,0,0,0,package://xin_nuo_4/meshes/zhuan_zhou1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xin_nuo_4/meshes/zhuan_zhou1.STL,,卫星本体-帆板连接件2-1,1frame_zhuan_zhou,1joint_zhuan_zhou,joint_zhuanzhou1,revolute,-1.05,1.8,0,3.1416,-1.5708,0,base_link,0,0,-1,10000,10000,-6.29,6.29,,,,,,,,
lianjiegan1,-1.16039493270321,1.59644455433039E-08,-0.0300007147043297,0,0,0,0.265926031032753,0.11527621082924,-3.82076707324128E-09,1.07051601500041E-07,0.208272054170889,9.21666483465507E-10,0.0930635039944864,0,0,0,0,0,0,package://xin_nuo_4/meshes/lianjiegan1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xin_nuo_4/meshes/lianjiegan1.STL,,卫星本体-帆板连接件-1,1frame_lian_jie_gan,1joint_lian_jie_gan,joint_lianjiegan1,revolute,0.0300000000000219,0,0.0949999999999995,0,1.5707963267949,0,zhuan_zhou1,0,0,1,10000,10000,-6.29,6.29,,,,,,,,
1fanban1,-1.74223879182712,2.82060278899987E-05,-1.14500000000002,0,0,0,5.85048235803155,2.56678101098279,0.000282129677435218,-1.0769163338864E-14,8.22372211659584,-1.66805450922469E-16,5.65756087252585,0,0,0,0,0,0,package://xin_nuo_4/meshes/1fanban1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xin_nuo_4/meshes/1fanban1.STL,,太阳帆板-1,1frame_fanban_1,1fanban1,joint_1fanban1,revolute,-1.73205080756888,0,1.11500000000001,0,0,0,lianjiegan1,0,0,-1,10000,10000,-6.29,6.29,,,,,,,,
1fanban2,-1.74223879182711,-2.82060278828933E-05,-1.17,0,0,0,5.85048235803157,2.56678101098281,-0.000282129677417368,7.99360577730113E-15,8.22372211659588,6.04333344257838E-16,5.65756087252587,0,0,0,0,0,0,package://xin_nuo_4/meshes/1fanban2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xin_nuo_4/meshes/1fanban2.STL,,太阳帆板-2,1frame_fanban_2,1fanban2,joint_1fanban2,revolute,-3.48,0.0375000000000068,0.0249999999999766,0,0,0,1fanban1,0,0,1,10000,10000,-6.29,6.29,,,,,,,,
1fanban3,1.74223879182711,2.82060278880003E-05,-1.12,0,0,0,5.85048235803157,2.5667810109828,-0.000282129677435944,-1.36557432028894E-14,8.22372211659587,1.88160880153594E-16,5.65756087252587,0,0,0,0,0,0,package://xin_nuo_4/meshes/1fanban3.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xin_nuo_4/meshes/1fanban3.STL,,太阳帆板-3,1frame_fanban_3,1fanban3,joint_1fanban3,revolute,-3.48,-0.0374999999999939,-2.29,3.14159265358979,0,3.14159265358979,1fanban2,0,0,1,10000,10000,-6.29,6.29,,,,,,,,
1fanban4,-1.7422387918271,-2.82060278831153E-05,-1.12,0,0,0,5.85048235803156,2.5667810109828,-0.00028212967741823,1.17683640610267E-14,8.22372211659584,-1.28772571324304E-16,5.65756087252586,0,0,0,0,0,0,package://xin_nuo_4/meshes/1fanban4.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xin_nuo_4/meshes/1fanban4.STL,,太阳帆板-4,1frame_fanban_4,1fanban4,joint_1fanban4,revolute,3.48,0.037500000000005,-2.24,3.14159265358979,0,-3.14159265358979,1fanban3,0,0,1,10000,10000,-6.29,6.29,,,,,,,,
zhuanzhou_2,5.8773346744978E-09,1.55240953425562E-09,0.0541943118686858,0,0,0,0.0724314369507896,0.00024562467356761,-6.22295571017868E-11,3.62415584806539E-11,0.000241882448707952,-1.5929470513993E-11,0.000177147693159084,0,0,0,0,0,0,package://xin_nuo_4/meshes/zhuanzhou_2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xin_nuo_4/meshes/zhuanzhou_2.STL,,卫星本体-帆板连接件2-2,2frame_zhuan_zhou,2joint_zhuan_zhou,joint_zhuanzhou_2,revolute,1.05,1.8,0,0,1.5708,0,base_link,0,0,-1,10000,10000,-6.29,6.29,,,,,,,,
